title,address,type,educational,workExperience,workTag,salary,salaryMonth,companyTags,hrWork,hrName,pratice,companyTitle,companyAvatar,companyNature,companyStatus,companyPeople,detailUrl,companyUrl,dist
设备开发工程师,湖州,电气设计工程师,大专,3-5年,"[""\u8bbe\u5907\u8bbe\u8ba1"", ""\u8bbe\u5907\u5b89\u88c5""]","[10000, 12000]",0薪,无,人事,吕女士人事,0,恒林家居股份有限公司,"https://img.bosszhipin.com/beijin/app/mobile/normal-0e3f1e4441a21d4874cece3a3d81f0fe.png?x-oss-process=image/resize,w_100,limit_0",其他行业,未融资,"[1000, 9999]",https://www.zhipin.com/job_detail/e3a05784bf91fabb1Xx42dS0E1dX.html?lid=5enNtL9lp6a.search.211&securityId=zf5DF3DWlShyX-E1jNIkVl4OWiTR17e4MpanT0Xjr7sDjUc68diHMrdVku4vUxgqYBhNMwwtGq7luwowC62Y9k8s9b4ppXnmvCETM952RAZxwdUqpJ7WE62XLD76gRSvlZ373xq_CEK9uGJl910hu9Q~&sessionId=,https://www.zhipin.com/gongsi/da5469bd1e136ffe1nx73d64EFY~.html,安吉县
PLC调试工程师,重庆,电气设计工程师,大专,经验不限,"[""PLC\u5de5\u7a0b\u5e08"", ""\u7535\u63a7\u5de5\u7a0b\u5e08"", ""CAD"", ""eplan""]","[6000, 11000]",0薪,"[""\u5b9a\u671f\u4f53\u68c0\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u4f4f\u623f\u8865\u8d34\uff0c\u4e94\u9669\uff0c\u8282\u65e5\u798f\u5229""]",HR,赖女士HR,0,集成自动化,"https://img.bosszhipin.com/beijin/upload/com/workfeel/20210514/b46283ade070f26f677fe5a41a5c98bbe653fec29c97854febd215c1fb251cda.jpg?x-oss-process=image/resize,w_100,limit_0",仪器仪表/工业自动化,未融资,"[100, 499]",https://www.zhipin.com/job_detail/d6f2af00db76aa071nx729q1F1pW.html?lid=5enNtL9lp6a.search.212&securityId=eBTe6a-z7Iq9X-a1TPrjang3CiOox9Fj13_iLXXJS-8aB5WiMNBL04AOHOD8j5Oq5nM8qcnSgta5hbQLyxX4OzJZ-w4waXGAJTrxGbmtjYIRkwnTHjk~&sessionId=,https://www.zhipin.com/gongsi/da5469bd1e136ffe1nx73d64EFY~.html,渝北区
电子开发工程师,深圳,电气设计工程师,大专,经验不限,"[""c\u8bed\u8a00"", ""PCB"", ""\u5355\u7247\u673a""]","[13000, 20000]",0薪,"[""\u5305\u5403\uff0c\u5e74\u7ec8\u5956\uff0c\u96f6\u98df\u4e0b\u5348\u8336\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u4e94\u9669\u4e00\u91d1\uff0c\u80a1\u7968\u671f\u6743""]",研发部经理,李先生研发部经理,0,极光尔沃,"https://img.bosszhipin.com/beijin/upload/com/workfeel/20220719/7bf6f160950405e9f4380d0324442470bd78825083ac0d5ce0169de0f398b3764466df96d99aa8ea.jpg?x-oss-process=image/resize,w_100,limit_0",机械设备/机电/重工,已上市,"[100, 499]",https://www.zhipin.com/job_detail/c7288babfff86eae1XBy39u6EVNQ.html?lid=5enNtL9lp6a.search.213&securityId=dHTtWR7pNYObe-X1KFN1MBwREN_moFs0NfabwUQxw_oI5V7351mT-HCsGyoO42YECqlkYXHETao8tna3i-nS9af2Rzw5TgJ_vUExeAqKAPc3mI_0Og~~&sessionId=,https://www.zhipin.com/gongsi/da5469bd1e136ffe1nx73d64EFY~.html,龙华区
初级硬件工程师,惠州,电气设计工程师,本科,1-3年,"[""\u6c7d\u8f66\u786c\u4ef6\u4ea7\u54c1"", ""Altium Designer"", ""\u7535\u6c60/\u7535\u6e90\u7c7b\u4ea7\u54c1"", """", """", """", """", """"]","[10000, 15000]",14薪,"[""\u5e26\u85aa\u5e74\u5047\uff0c\u514d\u8d39\u73ed\u8f66\uff0c\u4e94\u9669\u4e00\u91d1\uff0c\u5b9a\u671f\u4f53\u68c0""]",HR,郑女士HR,0,德兰明海,"https://img.bosszhipin.com/beijin/mcs/banner/f8be281305d5ae66940109fd8c58eaeccfcd208495d565ef66e7dff9f98764da.png?x-oss-process=image/resize,w_100,limit_0",新能源,D轮及以上,"[1000, 9999]",https://www.zhipin.com/job_detail/0570d00fb377c7c91XZ629--ElVW.html?lid=5enNtL9lp6a.search.214&securityId=ZahPaAL0RYzcg-L1novprAeGMFtU1PQHbJr0KcxHsqP-L3d1IH31VSpxd9FnEy0Bw-D28H6WpcwvBmVL2wiZT3I8A2FeUUQJstZWy4LWKlRty-2S6C4~&sessionId=,https://www.zhipin.com/gongsi/da5469bd1e136ffe1nx73d64EFY~.html,惠阳区
plc调试工程师,上海,电气设计工程师,大专,3-5年,"[""PLC\u5de5\u7a0b\u5e08"", ""\u4eea\u5668\u4eea\u8868\u5de5\u7a0b\u5e08"", ""CAD"", ""eplan""]","[8000, 13000]",0薪,"[""\u9ad8\u6e29\u8865\u8d34\uff0c\u5e74\u7ec8\u5956\uff0c\u7ee9\u6548\u5956\u91d1\uff0c\u5458\u5de5\u65c5\u6e38\uff0c\u804c\u79f0\u8bc4\u5b9a\uff0c\u5b9a\u671f\u4f53\u68c0\uff0c\u5168\u52e4\u5956\uff0c\u4f18\u5148\u843d\u6237\u540d\u989d\uff0c\u9910\u8865\uff0c\u8282\u5047\u65e5\u52a0\u73ed\u8d39\uff0c\u8282\u65e5\u798f\u5229\uff0c\u901a\u8baf\u8865\u8d34\uff0c\u56e2\u5efa\u805a\u9910\uff0c\u4f4f\u623f\u8865\u8d34\uff0c\u5e95\u85aa\u52a0\u63d0\u6210\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u5305\u4f4f\uff0c\u80a1\u7968\u671f\u6743\uff0c\u610f\u5916\u9669\uff0c\u4e94\u9669\u4e00\u91d1""]",HR经理,吴女士HR经理,0,朴维自控,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20180917/960243c1c3d6fa75cea92a79c08cc7e53ff2bccf1b1eb1a70241426b16720805.jpg?x-oss-process=image/resize,w_100,limit_0",仪器仪表/工业自动化,未融资,"[20, 99]",https://www.zhipin.com/job_detail/74cbe1b569bbd7aa1XJy2du0E1ZT.html?lid=5enNtL9lp6a.search.215&securityId=D5BQ0kxPbicnG-C1L97871Mq1Z40xaTH8hGpmaB8vZFYLxLRZNF3jl9CmZVZnNAuC7fKpX9Og_TK77xjJJRo_AV2vAv22uzgyfzeLBIMzslQKccjcvOcDv37mgOM8Qq8E6Bov9pc8bpty1vIHOydjiE~&sessionId=,https://www.zhipin.com/gongsi/da5469bd1e136ffe1nx73d64EFY~.html,闵行区
运行调试工程师,武汉,电气设计工程师,学历不限,经验不限,"[""\u673a\u68b0/\u673a\u7535\u8bbe\u5907"", ""\u8ba1\u7b97\u673a/\u901a\u4fe1\u76f8\u5173\u4e13\u4e1a"", ""\u673a\u68b0/\u7535\u5b50\u5de5\u7a0b\u76f8\u5173\u4e13\u4e1a"", """"]","[5000, 10000]",0薪,无,行政主管,梅女士行政主管,0,华瑞光联,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20210225/a49d0abd0c1467ab9ad988435b2aa9c7da5827a1cf72f4b9abda5414a0a059cd_s.jpg?x-oss-process=image/resize,w_100,limit_0",电子/半导体/集成电路,未融资,"[20, 99]",https://www.zhipin.com/job_detail/6eb582339fe8d95a1XB80tu7GFtT.html?lid=5enNtL9lp6a.search.216&securityId=fpsleOeq-JxxO-21RApaluu3MHO1VE0LD6TlZqMkt1TWASU1KkDb4GG8AMNtWol87uLzM_fJK8qqPk2TVLgp5JyXxL66FQAXU8G_CuJYHcfnHql9VzAb&sessionId=,https://www.zhipin.com/gongsi/da5469bd1e136ffe1nx73d64EFY~.html,洪山区
OTA高级工程师,宁波,电气设计工程师,本科,5-10年,"[""OTA""]","[20000, 40000]",0薪,"[""\u4e94\u9669\u4e00\u91d1\uff0c\u5e74\u7ec8\u5956\uff0c\u901a\u8baf\u8865\u8d34\uff0c\u4f4f\u623f\u8865\u8d34\uff0c\u8865\u5145\u533b\u7597\u4fdd\u9669\uff0c\u9910\u8865\uff0c\u514d\u8d39\u73ed\u8f66\uff0c\u5b9a\u671f\u4f53\u68c0\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u8282\u65e5\u798f\u5229\uff0c\u5458\u5de5\u65c5\u6e38\uff0c\u4ea4\u901a\u8865\u52a9\uff0c\u5305\u5403\uff0c\u80a1\u7968\u671f\u6743\uff0c\u96f6\u98df\u4e0b\u5348\u8336\uff0c\u52a0\u73ed\u8865\u52a9""]",hr,金女士hr,0,吉利控股集团,"https://img.bosszhipin.com/beijin/mcs/banner/8d5be9361753e60ab2b1f4e59da3179acfcd208495d565ef66e7dff9f98764da.jpg?x-oss-process=image/resize,w_100,limit_0",汽车生产,已上市,"[0, 10000]",https://www.zhipin.com/job_detail/47b65c96b3cb23d51Xx70t67GVdT.html?lid=5enNtL9lp6a.search.217&securityId=-BFg_llixE2mL-v1aBxHsFL-m9EAVezWNe0b3TiG9CQXZ4xZD6cfYhIckyZ74zdK2nXwCvgoMxKEhhoCawjMsbceG0VU56QePlS7VGtTvHkixak1gTN0YKmWk4M2d0CYeVn5tuD1oVRbDd7Rb4E~&sessionId=,https://www.zhipin.com/gongsi/da5469bd1e136ffe1nx73d64EFY~.html,慈溪市
电控软件工程师,深圳,电气设计工程师,本科,3-5年,"[""\u7814\u7a76\u5bfc\u5411"", ""C/C++"", ""\u673a\u5668\u5b66\u4e60\u7b97\u6cd5/\u5de5\u7a0b\u5316\u7ecf\u9a8c""]","[15000, 25000]",0薪,"[""\u56e2\u5efa\u805a\u9910\uff0c\u8865\u5145\u533b\u7597\u4fdd\u9669\uff0c\u9ad8\u6e29\u8865\u8d34\uff0c\u610f\u5916\u9669\uff0c\u7ee9\u6548\u5956\u91d1\uff0c\u96f6\u98df\u4e0b\u5348\u8336\uff0c\u5b9a\u671f\u4f53\u68c0\uff0c\u5bbf\u820d\u6709\u7a7a\u8c03\uff0c\u5de5\u9f84\u5956\uff0c\u5e74\u7ec8\u5956\uff0c\u52a0\u73ed\u8865\u52a9\uff0c\u80a1\u7968\u671f\u6743\uff0c\u591c\u73ed\u8865\u52a9\uff0c\u4e94\u9669\u4e00\u91d1\uff0c\u5168\u52e4\u5956\uff0c\u5458\u5de5\u65c5\u6e38\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u8282\u65e5\u798f\u5229\uff0c\u514d\u8d39\u5de5\u88c5\uff0c\u514d\u8d39\u73ed\u8f66""]",HR,王先生HR,0,兆威机电,"https://img.bosszhipin.com/beijin/upload/com/workfeel/20220802/7bf6f160950405e9751d33b5f6f5ece64b4cf501ab6b3fad4d315c989504558dc92354a7780f8fc9.jpg?x-oss-process=image/resize,w_100,limit_0",机械设备/机电/重工,已上市,"[1000, 9999]",https://www.zhipin.com/job_detail/193256bcaf7dee5c1XJ72t27ElJU.html?lid=5enNtL9lp6a.search.218&securityId=TcGL_SDeNpbbb-c1UOYfjVTiyq2Sk15DaxbmHNp6UALuSyTyHzorOUUBlNtZhSDdFezAM5iN4RUaaS8ehiJ3Joz--na7k-AosHKhQHi0AZIox1fhqg~~&sessionId=,https://www.zhipin.com/gongsi/da5469bd1e136ffe1nx73d64EFY~.html,宝安区
上位机工程师,苏州,电气设计工程师,大专,1-3年,"[""C#"", ""MySQL"", ""SQL Server"", ""C#\u5f00\u53d1\u7ecf\u9a8c""]","[15000, 25000]",13薪,"[""\u4e94\u9669\u4e00\u91d1\uff0c\u6709\u65e0\u7ebf\u7f51\uff0c\u591c\u73ed\u8865\u52a9\uff0c\u5305\u4f4f\uff0c\u751f\u65e5\u798f\u5229\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u514d\u8d39\u5de5\u88c5\uff0c\u4ea4\u901a\u8865\u52a9\uff0c\u5458\u5de5\u65c5\u6e38\uff0c\u8282\u5047\u65e5\u52a0\u73ed\u8d39\uff0c\u5bbf\u820d\u6709\u7a7a\u8c03\uff0c\u7ee9\u6548\u5956\u91d1\uff0c\u8865\u5145\u533b\u7597\u4fdd\u9669\uff0c\u901a\u8baf\u8865\u8d34\uff0c\u5e74\u7ec8\u5956\uff0c\u8282\u65e5\u798f\u5229\uff0c\u4f4f\u623f\u8865\u8d34\uff0c\u5b9a\u671f\u4f53\u68c0\uff0c\u52a0\u73ed\u8865\u52a9""]",HR,邓女士HR,0,昆山三智达,"https://c-res.zhipin.com/jrs/2_29ed81ac01e3d40e8c554724f2f79e49.jpg?x-oss-process=image/resize,w_100,limit_0",仪器仪表/工业自动化,未融资,"[100, 499]",https://www.zhipin.com/job_detail/830d8321ef8ed2861XF50tm8E1FQ.html?lid=5enNtL9lp6a.search.219&securityId=QPbXO1vMm2wrz-h1hBYFUYjpz6zQZkgu5ZLlV7kJrLIT5EQBtQSEz4gVPtUtygzrSpIY6Mm0BZCwtVCvm5gBne6wUbtXCS3QfoS_c12KXVtuRlKVLW3FtQnJzC9zXpETChDva--a8r36YEjGx-XXYrQ~&sessionId=,https://www.zhipin.com/gongsi/da5469bd1e136ffe1nx73d64EFY~.html,昆山市
工业机器人工程师,上海,电气设计工程师,大专,经验不限,"[""PLC\u5de5\u7a0b\u5e08"", ""\u7535\u673a\u5de5\u7a0b\u5e08"", ""CAD"", ""CATIA"", ""\u7535\u8def\u8bbe\u8ba1""]","[4000, 9000]",13薪,"[""\u4e94\u9669\u4e00\u91d1\uff0c\u8865\u5145\u533b\u7597\u4fdd\u9669\uff0c\u5b9a\u671f\u4f53\u68c0\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u9910\u8865\uff0c\u8282\u65e5\u798f\u5229\uff0c\u5e74\u7ec8\u5956\uff0c\u5305\u5403\uff0c\u96f6\u98df\u4e0b\u5348\u8336\uff0c\u5458\u5de5\u65c5\u6e38""]",招聘者,周先生招聘者,0,上海寇文,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",仪器仪表/工业自动化,未融资,"[0, 20]",https://www.zhipin.com/job_detail/be0f45d975eedf611nB82NS0E1ZT.html?lid=5enNtL9lp6a.search.220&securityId=E0ykjTVECPI1a-P1_mHR71WGnbFFuxSEXzggNVm_U2UKPxqr3SeKQQ-fYF1FK2o3IUdkafOZHCmi5M8ehgjQy_rxx0GbfDCCvY3BoVAV-wkv7XdyA9v5oVYouU6B1rC6BBWQGC67CCdSevu6A9INNcG_&sessionId=,https://www.zhipin.com/gongsi/da5469bd1e136ffe1nx73d64EFY~.html,浦东新区
工业机器人工程师,郑州,电气设计工程师,大专,1-3年,"[""CAD""]","[6000, 10000]",0薪,"[""\u9910\u8865\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u5b9a\u671f\u4f53\u68c0\uff0c\u5e74\u7ec8\u5956\uff0c\u901a\u8baf\u8865\u8d34\uff0c\u8282\u65e5\u798f\u5229\uff0c\u5458\u5de5\u65c5\u6e38\uff0c\u4ea4\u901a\u8865\u52a9\uff0c\u5168\u52e4\u5956\uff0c\u52a0\u73ed\u8865\u52a9\uff0c\u4e94\u9669\u4e00\u91d1\uff0c\u96f6\u98df\u4e0b\u5348\u8336""]",总经理/技术总监,左先生总经理/技术总监,0,华灏机电,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",机械设备/机电/重工,未融资,"[20, 99]",https://www.zhipin.com/job_detail/ffa9f1f59a344d6b1XZ-29m6GFtT.html?lid=5enNtL9lp6a.search.221&securityId=CoXFIPbxCzRhk-X1BlSCliYGEnTM4OtTxvOplXI9S88MADYlbhtwcssFpM5gwNr6m1ZfsAHkZTxiR62oCuXgfJJx2TdZpit77RCDc7uo2xz1lyS3KPiJ&sessionId=,https://www.zhipin.com/gongsi/da5469bd1e136ffe1nx73d64EFY~.html,
科研仪器助理工程师,济南,电气设计工程师,本科,经验不限,"[""Python"", ""SolidWorks"", ""PLC\u7f16\u7a0b"", ""\u673a\u68b0\u8bbe\u8ba1\u5236\u9020\u76f8\u5173\u4e13\u4e1a"", """", """", """", """"]","[4000, 6000]",0薪,"[""\u4ea4\u901a\u8865\u52a9\uff0c\u9910\u8865\uff0c\u5e74\u7ec8\u5956\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u4e94\u9669\u4e00\u91d1\uff0c\u901a\u8baf\u8865\u8d34\uff0c\u96f6\u98df\u4e0b\u5348\u8336""]",人力资源,唐女士人力资源,0,艾锐斯科技,"https://img.bosszhipin.com/beijin/app/mobile/normal-0e3f1e4441a21d4874cece3a3d81f0fe.png?x-oss-process=image/resize,w_100,limit_0",仪器仪表/工业自动化,不需要融资,"[0, 20]",https://www.zhipin.com/job_detail/a250b8d57fb7bf8e1XN-09u0E1pW.html?lid=5enNtL9lp6a.search.222&securityId=LY-qzXpmacRn4-j13LMY406CPRfjwHGAp0UB8kNlX6vZhzLJYqDQ8jfsQaYWAacGwpWn7V4bC4Sch5TW8wE1WOUBSV_WYiCa6WfgqN0glGPUZSaRug~~&sessionId=,https://www.zhipin.com/gongsi/da5469bd1e136ffe1nx73d64EFY~.html,历城区
电子工程师,中山,电气设计工程师,大专,1-3年,"[""\u5355\u7247\u673a\u5f00\u53d1"", ""\u7535\u8def\u8bbe\u8ba1""]","[10000, 15000]",0薪,"[""\u52a0\u73ed\u8865\u52a9\uff0c\u901a\u8baf\u8865\u8d34\uff0c\u5458\u5de5\u65c5\u6e38\uff0c\u9910\u8865\uff0c\u96f6\u98df\u4e0b\u5348\u8336\uff0c\u8282\u65e5\u798f\u5229\uff0c\u4f4f\u623f\u8865\u8d34\uff0c\u4e94\u9669\u4e00\u91d1\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u5168\u52e4\u5956\uff0c\u5e74\u7ec8\u5956\uff0c\u5305\u5403""]",招聘专员,何女士招聘专员,0,广东华美骏达电器,"https://img.bosszhipin.com/beijin/upload/com/workfeel/20210923/7bf6f160950405e91d63981f3e83ba3904bbbe1ace86d7815f18fdd53cf416fbfd5c5f676adb3682.jpg?x-oss-process=image/resize,w_100,limit_0",原材料及加工/模具,不需要融资,"[0, 10000]",https://www.zhipin.com/job_detail/be4138ffde70af731XF-3tS7E1FU.html?lid=5enNtL9lp6a.search.223&securityId=wzZQpVl2xyP4K-71isFucMhUSQxfdUI4FfUZml-399xJJkFlyGvBcn0TJvUhqY-K-P8t_Pf3SBlTx2E8CbPYGUpOJu9SoATrHto4-P0AX_Eh_VIICwQ~&sessionId=,https://www.zhipin.com/gongsi/da5469bd1e136ffe1nx73d64EFY~.html,东凤镇
电子工程师,济宁,电气设计工程师,本科,1-3年,"[""\u5355\u7247\u673a\u5f00\u53d1"", ""PCB\u8bbe\u8ba1"", ""EMC\u6d4b\u8bd5""]","[8000, 12000]",0薪,"[""\u8282\u65e5\u798f\u5229\uff0c\u5b9a\u671f\u4f53\u68c0\uff0c\u901a\u8baf\u8865\u8d34\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u5e74\u7ec8\u5956\uff0c\u52a0\u73ed\u8865\u52a9\uff0c\u96f6\u98df\u4e0b\u5348\u8336\uff0c\u4e94\u9669\u4e00\u91d1\uff0c\u4ea4\u901a\u8865\u52a9""]",人事经理,邵女士人事经理,0,济宁德卡医疗,"https://img.bosszhipin.com/beijin/upload/com/logo/20200406/a23ec14f358179b9f9a75f3a6d28bb00add994e17727d44124c23bd5dcac32e0.jpg?x-oss-process=image/resize,w_100,limit_0",医疗设备/器械,不需要融资,"[20, 99]",https://www.zhipin.com/job_detail/1f3024572321a70d1XZ53ty_FFdX.html?lid=5enNtL9lp6a.search.224&securityId=rAKp9glBY41g8-n1X4yua9YNJYDE7mAuXzS493aVN0-mmScCNZ5p3bIfLB6tzCUbDvv7CGEkW_KmPjaC4xBarTeoB-Qc_X3q3O_8mgB01fHf4suldQ~~&sessionId=,https://www.zhipin.com/gongsi/da5469bd1e136ffe1nx73d64EFY~.html,任城区
光伏工程师,东莞,电气设计工程师,本科,1-3年,"[""\u5149\u4f0f"", ""\u5149\u4f0f\u5de5\u7a0b\u5e08""]","[12000, 18000]",0薪,"[""\u5e26\u85aa\u5e74\u5047\uff0c\u7ee9\u6548\u5956\u91d1\uff0c\u5e74\u7ec8\u5956\uff0c\u56e2\u5efa\u805a\u9910\uff0c\u5305\u5403\uff0c\u9ad8\u6e29\u8865\u8d34\uff0c\u5458\u5de5\u65c5\u6e38""]",行政,容女士行政,0,广东莞建机电有限公司,"https://img.bosszhipin.com/beijin/app/mobile/normal-0e3f1e4441a21d4874cece3a3d81f0fe.png?x-oss-process=image/resize,w_100,limit_0",新能源,未融资,"[20, 99]",https://www.zhipin.com/job_detail/05ad18a1306358d71Xd80tS9FFFU.html?lid=5enNtL9lp6a.search.225&securityId=F1FI7KGEjJLvh-D15ZjO7mzRLUc9buVJ5PU9uiN7StmdDZpp3dCXdyBiC4qfyUlRlSguwZUOEiItnlwendDGmNJK6LoeEDymU_mOLcrpvx6nlOYkrKc~&sessionId=,https://www.zhipin.com/gongsi/da5469bd1e136ffe1nx73d64EFY~.html,寮步镇
电子工程师,石家庄,电气设计工程师,本科,3-5年,"[""\u4eea\u5668\u4eea\u8868""]","[6000, 10000]",0薪,"[""\u5de5\u9f84\u5956\uff0c\u9910\u8865\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u5168\u52e4\u5956\uff0c\u4e94\u9669\u4e00\u91d1\uff0c\u7ee9\u6548\u5956\u91d1\uff0c\u610f\u5916\u9669\uff0c\u4fdd\u5e95\u5de5\u8d44\uff0c\u8282\u65e5\u798f\u5229""]",人事经理,庞女士人事经理,0,德润厚天科技股份,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",仪器仪表/工业自动化,未融资,"[100, 499]",https://www.zhipin.com/job_detail/0e67ee9fc27221601nN73Nu6FlJU.html?lid=5enNtL9lp6a.search.226&securityId=NNCkaKpVEoNT--_19mHu9cb-cQd7ty1pGBEVcgULThtIsmTBQ0vICZtpN4kTE3pUxpIv-f3WquEH3RiYMtFOPaELbdl1LH15d556Ppfk5X1HSIV31tk1&sessionId=,https://www.zhipin.com/gongsi/da5469bd1e136ffe1nx73d64EFY~.html,裕华区
硬件工程师,济宁,电气设计工程师,本科,3-5年,"[""\u673a\u68b0\u8bbe\u8ba1\u5236\u9020\u76f8\u5173\u4e13\u4e1a"", ""\u7535\u5b50\u7535\u6c14/\u81ea\u52a8\u5316\u76f8\u5173\u4e13\u4e1a"", """", """"]","[8000, 12000]",0薪,无,人事经理,王女士人事经理,0,新风光,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",新能源,未融资,"[500, 999]",https://www.zhipin.com/job_detail/a7d9a381fbc3c7d81XVy0tW-EFZT.html?lid=5enNtL9lp6a.search.227&securityId=VRfl-dcw0p3SQ-81Xjoe9K1gocSQbTCRBeMOULodCjAokUbBq7S-7qjOhzA7RjSoyoc0bx5e2BT8Fg59HV59maolfzURw94TlsC_oU9Kys6UM0hSijOQ&sessionId=,https://www.zhipin.com/gongsi/da5469bd1e136ffe1nx73d64EFY~.html,汶上县
开关电源工程师,北京,电气设计工程师,本科,3-5年,"[""\u7535\u8def\u8bbe\u8ba1"", ""\u793a\u6ce2\u5668"", ""\u4fe1\u53f7\u53d1\u751f\u5668"", ""Altium Designer"", ""Verilog"", """"]","[15000, 25000]",0薪,"[""\u514d\u8d39\u73ed\u8f66\uff0c\u4e94\u9669\u4e00\u91d1\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u8282\u65e5\u798f\u5229\uff0c\u5168\u52e4\u5956\uff0c\u5b9a\u671f\u4f53\u68c0\uff0c\u5e74\u7ec8\u5956\uff0c\u4ea4\u901a\u8865\u52a9\uff0c\u52a0\u73ed\u8865\u52a9\uff0c\u8865\u5145\u533b\u7597\u4fdd\u9669\uff0c\u901a\u8baf\u8865\u8d34\uff0c\u4f01\u4e1a\u5e74\u91d1\uff0c\u9910\u8865\uff0c\u80a1\u7968\u671f\u6743""]",控制工程师,周先生控制工程师,0,华创微电子,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20170412/7914d3c50d10368af3734c05787f7d8a167cb07afb8123788f1ba28578e72134.jpg?x-oss-process=image/resize,w_100,limit_0",其他行业,已上市,"[1000, 9999]",https://www.zhipin.com/job_detail/70d87e345914d2891XRz0ti9F1dX.html?lid=5enNtL9lp6a.search.228&securityId=r8pQwGlWh8QHG-71dQ6vSelR2dFFtmD-Qb87Gr967Zodv2qluTmAI1A8lAcKU2YqfmQASl4ObN2d4g5KiSRWHFBWsFYs3bn7q9SQWANjgWtXl31R&sessionId=,https://www.zhipin.com/gongsi/da5469bd1e136ffe1nx73d64EFY~.html,大兴区
智能穿戴工程师,武汉,电气设计工程师,本科,5-10年,"[""\u667a\u80fd\u786c\u4ef6/\u53ef\u7a7f\u6234\u8bbe\u5907"", ""\u786c\u4ef6\u5f00\u53d1\u7ecf\u9a8c""]","[10000, 15000]",0薪,"[""\u56e2\u5efa\u805a\u9910\uff0c\u5e74\u7ec8\u5956\uff0c\u610f\u5916\u9669\uff0c\u96f6\u98df\u4e0b\u5348\u8336\uff0c\u8282\u65e5\u798f\u5229\uff0c\u5305\u5403\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u5b9a\u671f\u4f53\u68c0\uff0c\u4f4f\u623f\u8865\u8d34\uff0c\u4e94\u9669\u4e00\u91d1""]",HRM,杨先生HRM,0,易睿德,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",智能硬件,未融资,"[20, 99]",https://www.zhipin.com/job_detail/f570f744f3dc51e51XB73t27ElpW.html?lid=5enNtL9lp6a.search.229&securityId=phov3OBZA1dAa-y1piPBPeEfLMBxh9xDNd6qRjsTNSgYCUBS5Wb-tiPH_FmvvmFm6KIe2kurhO5YpCDgeCwgUgDZd0lSODClH66Rf6fGYYUi1thI_Co~&sessionId=,https://www.zhipin.com/gongsi/da5469bd1e136ffe1nx73d64EFY~.html,江夏区
BIM机电工程师,广州,电气设计工程师,大专,3-5年,"[""\u516c\u5171\u5efa\u7b51""]","[6000, 11000]",0薪,"[""\u56e2\u5efa\u805a\u9910\uff0c\u4fdd\u5e95\u5de5\u8d44""]",人事,周女士人事,0,卓力创消防工程,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",工程施工,未融资,"[20, 99]",https://www.zhipin.com/job_detail/2af86f5b63a9ffd11n1_09-1FFtW.html?lid=5enNtL9lp6a.search.230&securityId=9nGcuU43XH3Ko-e10EX41CcBEwTs-fEvuprIAtviAeUiCPXMcYD1FuPJGYkeKcJfjkYFAAiLAKyb438XOMXFlS6OD-bugZl6OpuU425tV6xHSZdV2Ms~&sessionId=,https://www.zhipin.com/gongsi/da5469bd1e136ffe1nx73d64EFY~.html,海珠区
